 case_id,province,city,group,infection_case,confirmed,latitude_x,longitude_x,code,latitude_y,longitude_y,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
6000008,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Jeil Silver Town,17,35.84819,128.7621,60010,35.825056,128.741544,31,61,10,1.34,16.18,7.0,427
6000009,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373,60010,35.825056,128.741544,31,61,10,1.34,16.18,7.0,427
6000007,Gyeongsangbuk-do,Chilgok-gun,True,Milal Shelter,36,36.0581,128.4941,60220,35.995529,128.401735,21,32,2,1.48,15.17,6.7,151
6000010,Gyeongsangbuk-do,Gumi-si,True,Gumi Elim Church,10,-,-,60040,36.119641,128.344295,50,104,3,1.96,9.08,4.3,616
6100002,Gyeongsangnam-do,Geochang-gun,True,Geochang Church,10,35.68556,127.9127,61020,35.686526,127.910021,17,16,2,1.25,27.01,17.4,127
6100004,Gyeongsangnam-do,Geochang-gun,True,Geochang-gun Woongyang-myeon,8,35.805681,127.917805,61020,35.686526,127.910021,17,16,2,1.25,27.01,17.4,127
6100003,Gyeongsangnam-do,Jinju-si,True,Wings Tower,9,35.164845,128.126969,61110,35.180313,128.10875,45,53,6,2.49,16.27,8.6,597
6100005,Gyeongsangnam-do,Changwon-si,True,Hanmaeum Changwon Hospital,7,35.22115,128.6866,61130,35.227992,128.681815,110,195,5,1.84,13.64,6.5,1701
6100006,Gyeongsangnam-do,Changnyeong-gun,True,Changnyeong Coin Karaoke,7,35.54127,128.5008,61120,35.544603,128.49233,17,20,0,0.8,29.8,18.4,129
6100007,Gyeongsangnam-do,Yangsan-si,True,Soso Seowon,3,35.338811,129.017508,61090,35.335016,129.037057,37,68,2,1.59,12.92,6.2,507
